exec,label,timestamp,cpu,mem
282,teleop-turtlesim_node-cpp-20,1697147149,37.55,0.00
283,teleop-movefb-cpp-20,1697147168,40.75,452116.00
284,teleop-turtlesim_node-cpp-20,1697147168,3.00,0.00
285,teleop-movefb-cpp-20,1697147389,52.85,0.00
286,teleop-turtlesim_node-cpp-20,1697147389,34.64,0.00
287,teleop-movefb-cpp-20,1697147602,52.99,550141.42
288,teleop-turtlesim_node-cpp-20,1697147602,34.43,0.00
289,teleop-movefb-cpp-20,1697147816,53.15,548303.76
290,teleop-turtlesim_node-cpp-20,1697147816,33.31,0.00
291,teleop-movefb-cpp-20,1697148031,53.06,541440.85
292,teleop-turtlesim_node-cpp-20,1697148031,35.65,0.00
293,teleop-movefb-cpp-20,1697148246,55.11,540096.97
294,teleop-turtlesim_node-cpp-20,1697148246,38.22,0.00
295,teleop-movefb-cpp-20,1697148461,51.54,538001.58
296,teleop-turtlesim_node-cpp-20,1697148461,33.03,0.00
297,teleop-movefb-cpp-20,1697148676,50.72,547333.91
298,teleop-turtlesim_node-cpp-20,1697148676,33.60,0.00
299,teleop-movefb-cpp-20,1697148890,52.66,545301.41
300,teleop-turtlesim_node-cpp-20,1697148890,36.53,0.00
301,teleop-movefb-cpp-20,1697149105,49.37,546894.40
302,teleop-turtlesim_node-cpp-20,1697149105,31.22,0.00
303,teleop-movefb-cpp-20,1697149121,0.00,0.00
304,teleop-turtlesim_node-cpp-20,1697149121,1.43,0.00
305,teleop-movefb-cpp-20,1697149336,48.25,548616.84
306,teleop-turtlesim_node-cpp-20,1697149336,31.94,0.00
307,teleop-movefb-cpp-20,1697149549,54.33,558603.23
308,teleop-turtlesim_node-cpp-20,1697149549,36.24,0.00
309,teleop-movefb-cpp-20,1697149566,0.00,0.00
310,teleop-turtlesim_node-cpp-20,1697149566,8.56,0.00
311,teleop-movefb-cpp-20,1697149780,54.45,546985.01
312,teleop-turtlesim_node-cpp-20,1697149780,35.44,0.00
313,teleop-movefb-cpp-20,1697149995,51.10,545120.37
314,teleop-turtlesim_node-cpp-20,1697149995,34.65,0.00
315,teleop-movefb-cpp-20,1697150209,53.25,545950.18
316,teleop-turtlesim_node-cpp-20,1697150209,35.19,0.00
317,teleop-movefb-cpp-20,1697150423,53.53,555941.61
318,teleop-turtlesim_node-cpp-20,1697150423,35.15,0.00
319,teleop-movefb-cpp-20,1697150638,48.82,548053.41
320,teleop-turtlesim_node-cpp-20,1697150638,31.64,0.00
321,teleop-movefb-cpp-30,1697150665,22.00,317652.00
322,teleop-turtlesim_node-cpp-30,1697150665,0.00,0.00
323,teleop-movefb-cpp-30,1697150884,41.34,0.00
324,teleop-turtlesim_node-cpp-30,1697150884,24.50,0.00
325,teleop-movefb-cpp-30,1697151099,37.35,557123.61
326,teleop-turtlesim_node-cpp-30,1697151099,22.59,0.00
327,teleop-movefb-cpp-30,1697151313,50.49,552838.27
328,teleop-turtlesim_node-cpp-30,1697151313,32.76,0.00
329,teleop-movefb-cpp-30,1697151528,42.43,555618.42
330,teleop-turtlesim_node-cpp-30,1697151528,26.46,0.00
331,teleop-movefb-cpp-30,1697151743,40.98,554945.72
332,teleop-turtlesim_node-cpp-30,1697151743,25.31,0.00
333,teleop-movefb-cpp-30,1697151956,41.68,561234.51
334,teleop-turtlesim_node-cpp-30,1697151956,24.40,0.00
335,teleop-movefb-cpp-30,1697152170,43.67,554969.21
336,teleop-turtlesim_node-cpp-30,1697152170,27.34,0.00
337,teleop-movefb-cpp-30,1697152385,38.21,555332.51
338,teleop-turtlesim_node-cpp-30,1697152385,23.05,0.00
339,teleop-movefb-cpp-30,1697152600,41.03,557324.30
340,teleop-turtlesim_node-cpp-30,1697152600,23.65,0.00
341,teleop-movefb-cpp-30,1697152813,39.48,563692.26
342,teleop-turtlesim_node-cpp-30,1697152813,23.74,0.00
343,teleop-movefb-cpp-30,1697153028,38.75,557323.24
344,teleop-turtlesim_node-cpp-30,1697153028,22.68,0.00
345,teleop-movefb-cpp-30,1697153243,41.57,557883.25
346,teleop-turtlesim_node-cpp-30,1697153243,25.11,0.00
347,teleop-movefb-cpp-30,1697153457,40.29,555333.60
348,teleop-turtlesim_node-cpp-30,1697153457,25.08,0.00
349,teleop-movefb-cpp-30,1697153673,38.10,561141.42
350,teleop-turtlesim_node-cpp-30,1697153673,21.67,0.00
351,teleop-movefb-cpp-30,1697153886,39.44,562356.12
352,teleop-turtlesim_node-cpp-30,1697153886,23.71,0.00
353,teleop-movefb-cpp-30,1697154101,41.54,554774.16
354,teleop-turtlesim_node-cpp-30,1697154101,25.62,0.00
355,teleop-movefb-cpp-30,1697154316,40.72,555971.02
356,teleop-turtlesim_node-cpp-30,1697154316,25.17,0.00
357,teleop-movefb-cpp-30,1697154530,45.93,550493.56
358,teleop-turtlesim_node-cpp-30,1697154530,30.03,0.00
359,teleop-movefb-cpp-30,1697154553,23.88,436658.40
360,teleop-turtlesim_node-cpp-30,1697154553,6.62,0.00
361,teleop-movefb-cpp-40,1697154783,38.11,0.00
362,teleop-turtlesim_node-cpp-40,1697154783,23.17,0.00
363,teleop-movefb-cpp-40,1697154997,35.08,562317.10
364,teleop-turtlesim_node-cpp-40,1697154997,19.73,0.00
365,teleop-movefb-cpp-40,1697155018,17.25,318567.00
366,teleop-turtlesim_node-cpp-40,1697155018,0.50,0.00
367,teleop-movefb-cpp-40,1697155043,17.52,0.00
368,teleop-turtlesim_node-cpp-40,1697155043,0.00,0.00
